funding_rounds,time_to_first_funding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,status,region,city,total_investment,Industry_Group,Founded_year
1.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,645,2187,1750000.0,11,2012
1.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,883,3119,40000.0,11,2012
1.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,519,1784,1500000.0,9,2011
2.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,229,1059,60000.0,42,2014
1.0,868.0,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,3,315,2294,7000000.0,38,2011
1.0,437.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,2000000.0,24,2007
1.0,1641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,838,554,0.0,38,2010
1.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,798,1674,40000.0,7,2012
1.0,8867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,521,1797,0.0,22,1986
1.0,9780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,646,1448,1750000.0,22,1984
1.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,676,2340,0.0,35,2013
2.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,519,1784,4400000.0,14,2013
4.0,3046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,72,3494,2050000.0,7,2001
1.0,1311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,720,1653,40000.0,24,2008
1.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,998,3569,500000.0,7,2009
2.0,0.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,770,2784,2535000.0,24,2010
6.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,807,235,4962651.0,24,2008
4.0,1064.0,3536910.0,0.0,0.0,0.0,0.0,0.0,0.0,2,700,2394,4059079.0,18,2010
3.0,720.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,2,83,223,10000000.0,26,2009
1.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,556,1849,420000.0,22,2014
2.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,770,2784,1250000.0,12,2011
1.0,3666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,645,2187,35000000.0,38,2000
1.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,904,2023,0.0,6,2014
1.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,199,642,50000.0,24,2009
2.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,1600000.0,28,2013
1.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,868,3099,100000.0,31,2009
1.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2293,3000000.0,5,2012
1.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,114,1729,77500.0,38,2010
1.0,1196.0,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,2,815,2889,20000000.0,8,2011
1.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,0.0,39,2013
1.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,190,605,0.0,39,2013
1.0,1322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,878,66,0.0,35,2011
2.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,579,1951,270000.0,28,2012
6.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,729,2538,794000.0,9,2011
2.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,650267.0,1,2012
1.0,721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,899,3173,0.0,38,2008
1.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,519,468,378812.0,38,2013
1.0,1513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,700,2394,130636.0,31,2008
1.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,622,1173,619494.0,38,2010
1.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,521,3404,0.0,7,2012
8.0,445.0,12400000.0,28400000.0,17500000.0,0.0,0.0,0.0,0.0,2,114,221,66450000.0,25,2007
1.0,883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,853,3046,700000.0,28,2010
2.0,-181.0,3000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,2,770,2784,5500000.0,1,2010
1.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,521,2825,500000.0,26,2010
3.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2784,3400000.0,38,2011
1.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,200000.0,19,2011
1.0,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,807,2866,199957.0,38,2006
1.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,676,1652,50000.0,19,2009
1.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,0.0,31,2013
1.0,4424.0,14000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,114,221,14000000.0,38,1990
3.0,1440.0,479014.0,0.0,83961305.0,0.0,0.0,0.0,0.0,2,815,3095,84440319.0,42,2004
3.0,360.0,0.0,6230000.0,0.0,0.0,0.0,0.0,0.0,2,83,223,9478511.0,17,2005
1.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,352,1225,0.0,24,2006
1.0,7471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,605,2083,200000000.0,38,1991
1.0,-268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,209,692,40000.0,14,2009
1.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,807,1587,0.0,8,2006
1.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,74,186,0.0,27,2012
1.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,823,2928,0.0,38,2012
2.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,43811.0,24,2009
1.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,674,2817,50000.0,7,2008
1.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,711,2445,0.0,23,2011
1.0,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,807,2866,1450000.0,38,2010
3.0,-181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,2100000.0,28,2013
1.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,170000.0,28,2013
1.0,4038.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,2,770,2784,30000000.0,22,2002
1.0,933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,567,1272,500000.0,8,2011
1.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,90,259,0.0,11,2012
1.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,0.0,36,2009
1.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,521,1797,0.0,31,2011
2.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,90,259,156000.0,38,2013
1.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,393,1388,30000.0,25,2011
1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,821,345,0.0,31,2012
1.0,2644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,584,1975,10000000.0,17,2007
4.0,3901.0,0.0,0.0,15000000.0,0.0,0.0,0.0,0.0,2,645,2187,117000000.0,7,2001
1.0,1349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,24,2836,750000.0,7,2009
1.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,47,124,0.0,31,2014
2.0,900.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2787,1500000.0,38,2011
1.0,3048.0,1660000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,700,2394,1660000.0,19,2000
1.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,41250.0,31,2011
1.0,1613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,58,1018,204189.0,31,2010
1.0,4584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,955,2671,150000.0,5,2000
5.0,933.0,2500000.0,0.0,0.0,26000000.0,0.0,0.0,0.0,2,50,135,41000000.0,11,2008
1.0,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,405,724,29750000.0,28,2006
3.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,759,2686,1236454.0,24,2012
2.0,990.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,645,2187,2800000.0,26,2007
1.0,2181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,83,223,1464128.0,25,2004
